Start_point, End_point, Cell, Delay
,,,
instr[4], riscv/dp/_18868_, BUFx2_ASAP7_75t_R,10.86 
instr[4], riscv/dp/_18868_, AO22x2_ASAP7_75t_R,  33.06 
instr[4], riscv/dp/_18868_, INVx1_ASAP7_75t_R,20.42 
instr[4], riscv/dp/_18868_, OR5x2_ASAP7_75t_R,  77.35 
instr[4], riscv/dp/_18868_, AND2x2_ASAP7_75t_R, 131.74 
instr[4], riscv/dp/_18868_, BUFx16f_ASAP7_75t_R,23.84 
instr[4], riscv/dp/_18868_, BUFx16f_ASAP7_75t_R,29.73 
instr[4], riscv/dp/_18868_, BUFx16f_ASAP7_75t_R,72.47 
instr[4], riscv/dp/_18868_, AO221x1_ASAP7_75t_R,  37.62 
instr[4], riscv/dp/_18868_, OA211x2_ASAP7_75t_R,  27.61 
instr[4], riscv/dp/_18868_, AO221x2_ASAP7_75t_R,  35.54 
instr[4], riscv/dp/_18868_, NAND2x2_ASAP7_75t_R,  25.24 
instr[4], riscv/dp/_18868_, HAxp5_ASAP7_75t_R,  61.82 
instr[4], riscv/dp/_18868_, OR2x2_ASAP7_75t_R,  27.60 
instr[4], riscv/dp/_18868_, AO21x1_ASAP7_75t_R,  13.28 
instr[4], riscv/dp/_18868_, AO21x1_ASAP7_75t_R,  12.93 
instr[4], riscv/dp/_18868_, OA211x2_ASAP7_75t_R,  18.95 
instr[4], riscv/dp/_18868_, OA31x2_ASAP7_75t_R,  25.34 
instr[4], riscv/dp/_18868_, OA31x2_ASAP7_75t_R,  26.90 
instr[4], riscv/dp/_18868_, OA21x2_ASAP7_75t_R,  21.89
instr[4], riscv/dp/_18868_, OA21x2_ASAP7_75t_R,  20.73
instr[4], riscv/dp/_18868_, OR2x2_ASAP7_75t_R,  16.44
instr[4], riscv/dp/_18868_, AO21x1_ASAP7_75t_R,  14.49
instr[4], riscv/dp/_18868_, NAND2x1_ASAP7_75t_R,  10.66
instr[4], riscv/dp/_18868_, FAx1_ASAP7_75t_R,  26.94
instr[4], riscv/dp/_18868_, XNOR2x1_ASAP7_75t_R,  12.94
instr[4], riscv/dp/_18868_, OAI22x1_ASAP7_75t_R,  11.98
instr[4], riscv/dp/_18868_, AO221x1_ASAP7_75t_R,  22.29
instr[4], riscv/dp/_18868_, AO22x1_ASAP7_75t_R,  21.66
instr[4], riscv/dp/_18868_, AO31x2_ASAP7_75t_R,  78.49
instr[4], riscv/dp/_18868_, NOR3x2_ASAP7_75t_R, 170.10
instr[4], riscv/dp/_18868_, AO22x1_ASAP7_75t_R,  91.58
instr[4], riscv/dp/_18868_, AO21x1_ASAP7_75t_R,  22.19
instr[4], riscv/dp/_18868_, AND4x2_ASAP7_75t_R,  35.38
instr[4], riscv/dp/_18868_, AO21x1_ASAP7_75t_R,  22.12
instr[4], riscv/dp/_18868_, AO21x1_ASAP7_75t_R,  15.72
instr[4], riscv/dp/_18868_, AO221x1_ASAP7_75t_R,  23.71
instr[4], riscv/dp/_18868_, NAND2x1_ASAP7_75t_R,   9.35
instr[4], riscv/dp/_18868_, OA31x2_ASAP7_75t_R,  22.73
instr[4], riscv/dp/_18868_, OAI21x1_ASAP7_75t_R,  50.67
instr[4], riscv/dp/_18868_, OA21x2_ASAP7_75t_R,  63.21
instr[4], riscv/dp/_18868_, DFFLQNx2_ASAP7_75t_R,   0.01
,,,
instr[4], riscv/dp/_18865_, BUFx2_ASAP7_75t_R,10.86 
instr[4], riscv/dp/_18865_, AO22x2_ASAP7_75t_R,  33.06 
instr[4], riscv/dp/_18865_, INVx1_ASAP7_75t_R,20.42 
instr[4], riscv/dp/_18865_, OR5x2_ASAP7_75t_R,  77.35 
instr[4], riscv/dp/_18865_, AND2x2_ASAP7_75t_R, 131.74 
instr[4], riscv/dp/_18865_, BUFx16f_ASAP7_75t_R,23.84 
instr[4], riscv/dp/_18865_, BUFx16f_ASAP7_75t_R,29.73 
instr[4], riscv/dp/_18865_, BUFx16f_ASAP7_75t_R,72.47 
instr[4], riscv/dp/_18865_, AO221x1_ASAP7_75t_R,  37.62 
instr[4], riscv/dp/_18865_, OA211x2_ASAP7_75t_R,  27.61 
instr[4], riscv/dp/_18865_, AO221x2_ASAP7_75t_R,  35.54 
instr[4], riscv/dp/_18865_, NAND2x2_ASAP7_75t_R,  25.24 
instr[4], riscv/dp/_18865_, HAxp5_ASAP7_75t_R,  61.82 
instr[4], riscv/dp/_18865_, OR2x2_ASAP7_75t_R,  27.60 
instr[4], riscv/dp/_18865_, AO21x1_ASAP7_75t_R,  13.28 
instr[4], riscv/dp/_18865_, AO21x1_ASAP7_75t_R,  12.93 
instr[4], riscv/dp/_18865_, OA211x2_ASAP7_75t_R,  18.95 
instr[4], riscv/dp/_18865_, OA31x2_ASAP7_75t_R,  25.34 
instr[4], riscv/dp/_18865_, OA31x2_ASAP7_75t_R,  26.90 
instr[4], riscv/dp/_18865_, OA21x2_ASAP7_75t_R,  21.89
instr[4], riscv/dp/_18865_, OA21x2_ASAP7_75t_R,  20.73
instr[4], riscv/dp/_18865_, OR2x2_ASAP7_75t_R,  16.44
instr[4], riscv/dp/_18865_, AO21x1_ASAP7_75t_R,  14.49
instr[4], riscv/dp/_18865_, NAND2x1_ASAP7_75t_R,  10.66
instr[4], riscv/dp/_18865_, FAx1_ASAP7_75t_R,  26.94
instr[4], riscv/dp/_18865_, XNOR2x1_ASAP7_75t_R,  12.94
instr[4], riscv/dp/_18865_, OAI22x1_ASAP7_75t_R,  11.98
instr[4], riscv/dp/_18865_, AO221x1_ASAP7_75t_R,  22.29
instr[4], riscv/dp/_18865_, AO22x1_ASAP7_75t_R,  21.66
instr[4], riscv/dp/_18865_, AO31x2_ASAP7_75t_R,  78.49
instr[4], riscv/dp/_18865_, NOR3x2_ASAP7_75t_R, 170.10
instr[4], riscv/dp/_18865_, AO22x1_ASAP7_75t_R,  91.36
instr[4], riscv/dp/_18865_, AO21x2_ASAP7_75t_R,  23.62
instr[4], riscv/dp/_18865_, AND3x4_ASAP7_75t_R,  28.65
instr[4], riscv/dp/_18865_, OR2x6_ASAP7_75t_R,  30.45
instr[4], riscv/dp/_18865_, AOI21x1_ASAP7_75t_R,  12.95
instr[4], riscv/dp/_18865_, OR3x1_ASAP7_75t_R,  20.07
instr[4], riscv/dp/_18865_, OR2x2_ASAP7_75t_R,  18.61
instr[4], riscv/dp/_18865_, OA31x2_ASAP7_75t_R,  19.59
instr[4], riscv/dp/_18865_, OAI21x1_ASAP7_75t_R,  51.01
instr[4], riscv/dp/_18865_, OA21x2_ASAP7_75t_R,  60.33
instr[4], riscv/dp/_18865_, DFFLQNx2_ASAP7_75t_R,   0.01
,,,
instr[4], riscv/dp/_19188_, BUFx2_ASAP7_75t_R,10.86 
instr[4], riscv/dp/_19188_, AO22x2_ASAP7_75t_R,  33.06 
instr[4], riscv/dp/_19188_, INVx1_ASAP7_75t_R,20.42 
instr[4], riscv/dp/_19188_, OR5x2_ASAP7_75t_R,  77.35 
instr[4], riscv/dp/_19188_, AND2x2_ASAP7_75t_R, 131.74 
instr[4], riscv/dp/_19188_, BUFx16f_ASAP7_75t_R,23.84 
instr[4], riscv/dp/_19188_, BUFx16f_ASAP7_75t_R,29.73 
instr[4], riscv/dp/_19188_, BUFx16f_ASAP7_75t_R,72.47 
instr[4], riscv/dp/_19188_, AO221x1_ASAP7_75t_R,  37.62 
instr[4], riscv/dp/_19188_, OA211x2_ASAP7_75t_R,  27.61 
instr[4], riscv/dp/_19188_, AO221x2_ASAP7_75t_R,  35.54 
instr[4], riscv/dp/_19188_, NAND2x2_ASAP7_75t_R,  25.24 
instr[4], riscv/dp/_19188_, HAxp5_ASAP7_75t_R,  61.82 
instr[4], riscv/dp/_19188_, OR2x2_ASAP7_75t_R,  27.60 
instr[4], riscv/dp/_19188_, AO21x1_ASAP7_75t_R,  13.28 
instr[4], riscv/dp/_19188_, AO21x1_ASAP7_75t_R,  12.93 
instr[4], riscv/dp/_19188_, OA211x2_ASAP7_75t_R,  18.95 
instr[4], riscv/dp/_19188_, OA31x2_ASAP7_75t_R,  25.34 
instr[4], riscv/dp/_19188_, OA31x2_ASAP7_75t_R,  26.90 
instr[4], riscv/dp/_19188_, OA21x2_ASAP7_75t_R,  21.89
instr[4], riscv/dp/_19188_, OA21x2_ASAP7_75t_R,  20.73
instr[4], riscv/dp/_19188_, OR2x2_ASAP7_75t_R,  16.44
instr[4], riscv/dp/_19188_, AO21x1_ASAP7_75t_R,  14.49
instr[4], riscv/dp/_19188_, NAND2x1_ASAP7_75t_R,  10.66
instr[4], riscv/dp/_19188_, FAx1_ASAP7_75t_R,  26.94
instr[4], riscv/dp/_19188_, XNOR2x1_ASAP7_75t_R,  12.94
instr[4], riscv/dp/_19188_, OAI22x1_ASAP7_75t_R,  11.98
instr[4], riscv/dp/_19188_, AO221x1_ASAP7_75t_R,  22.29
instr[4], riscv/dp/_19188_, AO22x1_ASAP7_75t_R,  21.66
instr[4], riscv/dp/_19188_, AO31x2_ASAP7_75t_R,  78.49
instr[4], riscv/dp/_19188_, NOR3x2_ASAP7_75t_R, 170.10
instr[4], riscv/dp/_19188_, AO22x1_ASAP7_75t_R,  91.58
instr[4], riscv/dp/_19188_, AO21x1_ASAP7_75t_R,  22.19
instr[4], riscv/dp/_19188_, AND4x2_ASAP7_75t_R,  35.38
instr[4], riscv/dp/_19188_, AO21x1_ASAP7_75t_R,  22.12
instr[4], riscv/dp/_19188_, AO21x1_ASAP7_75t_R,  15.72
instr[4], riscv/dp/_19188_, AO221x1_ASAP7_75t_R,  23.71
instr[4], riscv/dp/_19188_, NAND2x1_ASAP7_75t_R,   9.35
instr[4], riscv/dp/_19188_, OA31x2_ASAP7_75t_R,  22.73
instr[4], riscv/dp/_19188_, OAI21x1_ASAP7_75t_R,  50.67
instr[4], riscv/dp/_19188_, OA21x2_ASAP7_75t_R,  58.03
instr[4], riscv/dp/_19188_, DFFLQNx2_ASAP7_75t_R,   0.01
,,,
instr[4], riscv/dp/_19412_, BUFx2_ASAP7_75t_R,10.86 
instr[4], riscv/dp/_19412_, AO22x2_ASAP7_75t_R,  33.06 
instr[4], riscv/dp/_19412_, INVx1_ASAP7_75t_R,20.42 
instr[4], riscv/dp/_19412_, OR5x2_ASAP7_75t_R,  77.35 
instr[4], riscv/dp/_19412_, AND2x2_ASAP7_75t_R, 131.74 
instr[4], riscv/dp/_19412_, BUFx16f_ASAP7_75t_R,23.84 
instr[4], riscv/dp/_19412_, BUFx16f_ASAP7_75t_R,29.73 
instr[4], riscv/dp/_19412_, BUFx16f_ASAP7_75t_R,72.47 
instr[4], riscv/dp/_19412_, AO221x1_ASAP7_75t_R,  37.62 
instr[4], riscv/dp/_19412_, OA211x2_ASAP7_75t_R,  27.61 
instr[4], riscv/dp/_19412_, AO221x2_ASAP7_75t_R,  35.54 
instr[4], riscv/dp/_19412_, NAND2x2_ASAP7_75t_R,  25.24 
instr[4], riscv/dp/_19412_, HAxp5_ASAP7_75t_R,  61.82 
instr[4], riscv/dp/_19412_, OR2x2_ASAP7_75t_R,  27.60 
instr[4], riscv/dp/_19412_, AO21x1_ASAP7_75t_R,  13.28 
instr[4], riscv/dp/_19412_, AO21x1_ASAP7_75t_R,  12.93 
instr[4], riscv/dp/_19412_, OA211x2_ASAP7_75t_R,  18.95 
instr[4], riscv/dp/_19412_, OA31x2_ASAP7_75t_R,  25.34 
instr[4], riscv/dp/_19412_, OA31x2_ASAP7_75t_R,  26.90 
instr[4], riscv/dp/_19412_, OA21x2_ASAP7_75t_R,  21.89
instr[4], riscv/dp/_19412_, OA21x2_ASAP7_75t_R,  20.73
instr[4], riscv/dp/_19412_, OR2x2_ASAP7_75t_R,  16.44
instr[4], riscv/dp/_19412_, AO21x1_ASAP7_75t_R,  14.49
instr[4], riscv/dp/_19412_, NAND2x1_ASAP7_75t_R,  10.66
instr[4], riscv/dp/_19412_, FAx1_ASAP7_75t_R,  26.94
instr[4], riscv/dp/_19412_, XNOR2x1_ASAP7_75t_R,  12.94
instr[4], riscv/dp/_19412_, OAI22x1_ASAP7_75t_R,  11.98
instr[4], riscv/dp/_19412_, AO221x1_ASAP7_75t_R,  22.29
instr[4], riscv/dp/_19412_, AO22x1_ASAP7_75t_R,  21.66
instr[4], riscv/dp/_19412_, AO31x2_ASAP7_75t_R,  78.49
instr[4], riscv/dp/_19412_, NOR3x2_ASAP7_75t_R, 170.10
instr[4], riscv/dp/_19412_, AO22x1_ASAP7_75t_R,  91.58
instr[4], riscv/dp/_19412_, AO21x1_ASAP7_75t_R,  22.19
instr[4], riscv/dp/_19412_, AND4x2_ASAP7_75t_R,  35.38
instr[4], riscv/dp/_19412_, AO21x1_ASAP7_75t_R,  22.12
instr[4], riscv/dp/_19412_, AO21x1_ASAP7_75t_R,  15.72
instr[4], riscv/dp/_19412_, AO221x1_ASAP7_75t_R,  23.71
instr[4], riscv/dp/_19412_, NAND2x1_ASAP7_75t_R,   9.35
instr[4], riscv/dp/_19412_, OA31x2_ASAP7_75t_R,  22.73
instr[4], riscv/dp/_19412_, OAI21x1_ASAP7_75t_R,  50.67
instr[4], riscv/dp/_19412_, OA21x2_ASAP7_75t_R,  57.90
instr[4], riscv/dp/_19412_, DFFLQNx2_ASAP7_75t_R,   0.00
,,,
instr[4], riscv/dp/_18900_, BUFx2_ASAP7_75t_R,10.86 
instr[4], riscv/dp/_18900_, AO22x2_ASAP7_75t_R,  33.06 
